nombre_circuito,longitud,num_curvas,num_curvas_izq,recta_mas_larga,maxima,desnivel,tiempo
Losail,1.405898664380045,1.4037248126871922,1.0170770081334195,1.205587263659283,1.3635596813716897,-1.0932163332202425,1.212472388469093
Jerez,-0.2118709009246088,-0.491303684440518,-0.7546055221635046,-0.9013973854234315,-0.9242986697298111,0.3123475237772121,-0.04125738394513313
Estoril,-0.6192715960535755,-0.491303684440518,-1.3451663655958126,0.8308090831283013,0.7280434727323839,0.3123475237772121,-0.26737397254574374
Shanghai,1.2385431921071495,0.14037248126871876,-0.1640446787311966,1.694627084596052,1.7492522769596828,-1.0932163332202425,1.5559828401779854
Le Mans,-0.6142002181059133,-0.491303684440518,-1.3451663655958126,-0.5951761891359221,-0.6963894087005432,0.3123475237772121,-0.533261067327214
Mugello,1.1776866567351882,0.7720486469779555,-0.1640446787311966,1.5392312536441815,1.205776346812967,0.3123475237772121,0.7830843238329779
Catalunya,0.3020287311052922,-0.491303684440518,-0.7546055221635046,1.109607485718422,1.0260786602321967,0.3123475237772121,0.1373347004141987
Donington,-0.8880546272797417,-1.1229798501497548,-0.7546055221635046,-0.9013973854234315,-1.305608394913394,0.3123475237772121,-0.9869950183465809
Assen,-0.010706242333957335,2.6670771441056655,-0.1640446787311966,-1.4498532593712097,-0.3369940355390027,-1.0932163332202425,-0.32290260381713265
Sachsenring,-1.483096306472258,-0.491303684440518,2.1981986949980357,-0.4763440831139034,-0.6788579270829057,1.7179113807746667,-1.5411974388584757
Laguna Seca,-1.5862143247414155,-1.7546560158589914,0.4265161647011114,-1.6052490903230803,-1.7745755281851574,1.7179113807746667,-1.660092075784903
Brno,1.4447792286454646,0.14037248126871876,-0.1640446787311966,-0.7688538825527185,-0.10031903370091737,1.7179113807746667,1.3830603457983148
Misano,-0.6226525146853522,0.7720486469779555,-0.7546055221635046,-1.093356941305154,-1.2310995980384416,-1.0932163332202425,-0.4758147806215279
Indianapolis,-0.5617959793133895,0.14037248126871876,1.6076378515657275,0.309776002877912,-0.28878246109050515,-1.0932163332202425,-0.03825583630884184
Motegi,0.4271227204809914,-0.491303684440518,-0.1640446787311966,-0.19297521490755137,-0.43780005484041035,0.3123475237772121,0.5402924705863046
Phillip Island,-0.16960941802741245,-1.1229798501497548,0.4265161647011114,0.4377490401323936,1.1487990315556496,0.3123475237772121,-0.8797730666723975
Sepang,1.6898958294492008,0.7720486469779555,-0.7546055221635046,0.5291583524570233,0.3160536547179382,-1.0932163332202425,1.804110778111399
Valencia,-0.9184828949657223,0.14037248126871876,1.6076378515657275,0.32805786534283793,0.23716198743857564,-1.0932163332202425,-0.6694146031623162
